what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1410442461449
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1410442461450
started,bundle,com.android.ide.eclipse.base,23.0.3.1327240,"com.android.ide.eclipse.base",1410442461450
started,bundle,com.android.ide.eclipse.ddms,23.0.3.1327240,"com.android.ide.eclipse.ddms",1410442461463
os,sysinfo,,,"win32",1410442461466
arch,sysinfo,,,"x86_64",1410442461466
ws,sysinfo,,,"win32",1410442461466
locale,sysinfo,,,"zh_CN",1410442461466
processors,sysinfo,,,"4",1410442461466
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1410442461466
java.runtime.version,sysinfo,,,"1.8.0_05-b13",1410442461466
java.specification.name,sysinfo,,,"Java Platform API Specification",1410442461466
java.specification.vendor,sysinfo,,,"Oracle Corporation",1410442461466
java.specification.version,sysinfo,,,"1.8",1410442461466
java.vendor,sysinfo,,,"Oracle Corporation",1410442461466
java.version,sysinfo,,,"1.8.0_05",1410442461466
java.vm.info,sysinfo,,,"mixed mode",1410442461466
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1410442461466
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1410442461466
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1410442461466
java.vm.specification.version,sysinfo,,,"1.8",1410442461466
java.vm.vendor,sysinfo,,,"Oracle Corporation",1410442461466
java.vm.version,sysinfo,,,"25.5-b02",1410442461466
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1410442461476
started,bundle,com.android.ide.eclipse.adt,23.0.3.1327240,"com.android.ide.eclipse.adt",1410442462441
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1410442462583
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1410442462795
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1410442462828
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1410442463142
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410442465284
started,bundle,com.android.ide.eclipse.traceview,23.0.3.1327240,"com.android.ide.eclipse.traceview",1410442467684
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1410442468430
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1410442469092
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1410442469603
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1410442469967
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1410442471309
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1410442471310
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1410442471343
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1410442471372
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1410442471417
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410442471443
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410442471567
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1410442473524
started,bundle,com.android.ide.eclipse.ndk,23.0.3.1327240,"com.android.ide.eclipse.ndk",1410442473670
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1410442474398
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1410442474416
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410442474476
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1410442475021
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1410442475129
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410442477160
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410442484614
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410442495266
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410442563286
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410442563294
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410442563482
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410442563494
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1410442563660
