what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1420121242073
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1420121242073
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1420121242073
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1420121242073
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1420121242073
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1420121242073
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1420121242073
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1420121242073
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1420121242073
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1420121242073
started,bundle,com.android.ide.eclipse.adt,23.0.3.1327240,"com.android.ide.eclipse.adt",1420121242073
started,bundle,com.android.ide.eclipse.base,23.0.3.1327240,"com.android.ide.eclipse.base",1420121242073
started,bundle,com.android.ide.eclipse.ddms,23.0.3.1327240,"com.android.ide.eclipse.ddms",1420121242073
started,bundle,com.android.ide.eclipse.traceview,23.0.3.1327240,"com.android.ide.eclipse.traceview",1420121242073
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1420121242073
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1420121242088
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1420121242088
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1420121242088
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1420121242088
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1420121242088
os,sysinfo,,,"win32",1420121242088
arch,sysinfo,,,"x86_64",1420121242088
ws,sysinfo,,,"win32",1420121242088
locale,sysinfo,,,"zh_CN",1420121242088
processors,sysinfo,,,"4",1420121242088
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1420121242088
java.runtime.version,sysinfo,,,"1.8.0_05-b13",1420121242088
java.specification.name,sysinfo,,,"Java Platform API Specification",1420121242088
java.specification.vendor,sysinfo,,,"Oracle Corporation",1420121242088
java.specification.version,sysinfo,,,"1.8",1420121242088
java.vendor,sysinfo,,,"Oracle Corporation",1420121242088
java.version,sysinfo,,,"1.8.0_05",1420121242088
java.vm.info,sysinfo,,,"mixed mode",1420121242088
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1420121242088
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1420121242088
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1420121242088
java.vm.specification.version,sysinfo,,,"1.8",1420121242088
java.vm.vendor,sysinfo,,,"Oracle Corporation",1420121242088
java.vm.version,sysinfo,,,"25.5-b02",1420121242088
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1420121242088
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1420121242182
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1420121242197
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1420121242197
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1420121242369
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1420121242385
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1420121242478
started,bundle,com.android.ide.eclipse.ndk,23.0.3.1327240,"com.android.ide.eclipse.ndk",1420121244881
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420121245068
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420121397149
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420121699357
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420122282395
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1420122285078
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420122285125
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1420122285390
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1420122285562
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1420122285562
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1420122285562
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1420122285562
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1420122285562
