what,kind,bundleId,bundleVersion,description,time
started,bundle,com.android.ide.eclipse.ddms,23.0.3.1327240,"com.android.ide.eclipse.ddms",1413211965418
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1413211965453
started,bundle,com.android.ide.eclipse.traceview,23.0.3.1327240,"com.android.ide.eclipse.traceview",1413211970522
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1413211970620
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413211973943
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1413211975657
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413211976207
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1413211978653
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413211988438
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413211989859
opened,view,com.android.ide.eclipse.ddms,23.0.3.1327240,"com.android.ide.eclipse.ddms.views.LogCatView",1413211989984
started,bundle,com.android.ide.eclipse.gldebugger,23.0.3.1327240,"com.android.ide.eclipse.gldebugger",1413211990037
opened,view,com.android.ide.eclipse.ddms,23.0.3.1327240,"com.android.ide.eclipse.ddms.views.DeviceView",1413211990072
opened,view,com.android.ide.eclipse.ddms,23.0.3.1327240,"com.android.ide.eclipse.ddms.views.ThreadView",1413211990116
activated,perspective,com.android.ide.eclipse.ddms,23.0.3.1327240,"com.android.ide.eclipse.ddms.Perspective",1413211990141
activated,view,com.android.ide.eclipse.ddms,23.0.3.1327240,"com.android.ide.eclipse.ddms.views.LogCatView",1413211990149
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1413211990178
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1413211990178
activated,view,com.android.ide.eclipse.ddms,23.0.3.1327240,"com.android.ide.eclipse.ddms.views.DeviceView",1413211991818
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1413211994828
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1413211994836
activated,view,com.android.ide.eclipse.ddms,23.0.3.1327240,"com.android.ide.eclipse.ddms.views.LogCatView",1413212002501
