what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419753598863
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419756405622
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419756409444
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419756409506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419756410910
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419756471485
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419756772702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419758151523
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419758158060
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419760172216
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419760473531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419763028869
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419763030897
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419763199271
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419763211200
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419763217060
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1419763217070
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1419763218816
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1419763219661
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419763227388
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419763237359
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419763239740
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419763248493
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1419763248508
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419763249276
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419763301434
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419763302977
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419766591042
