what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1413647226660
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1413647226660
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413647479644
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413647486045
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1413647487465
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1413647523813
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1413647524738
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1413647525951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413647528695
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413647531391
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1413647531464
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1413647531524
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1413647533452
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1413647535033
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413647535079
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1413647535103
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413647536604
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1413647539981
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1413647541851
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1413647543780
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413647548050
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413647548164
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413647549268
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413647553131
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1413647556469
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413647560745
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413647565628
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1413647565677
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1413647570158
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413647573815
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413647591886
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1413647591895
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1413647592499
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1413647598523
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1413647602229
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1413647606849
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1413647608706
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413647615698
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413647627948
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1413647634526
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413647702908
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413647703365
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413647703539
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413647704944
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413647706550
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413647792874
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1413647792895
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413647794207
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413647796091
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1413647796097
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413647802803
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413647807722
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1413647807727
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413647811192
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413647834898
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413647838761
error,log,,,"Exception occurred while saving project preferences: /MobileToken_iWiFi/.settings/org.eclipse.jdt.core.prefs.",1413647857689
error,log,,,"Exception occurred while saving project preferences: /MobileToken_iWiFi/.settings/org.eclipse.jdt.core.prefs.",1413647857691
error,log,,,"Exception occurred while saving project preferences: /MobileToken_iWiFi/.settings/org.eclipse.jdt.core.prefs.",1413647857691
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413647857736
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1413647857814
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1413647857814
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1413647857825
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1413647871580
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1413647871638
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1413647936051
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1413647939001
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1413647944618
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1413647947413
